0,환영인사
1,매일 공부 범위를 정해두어야 할까요?
2,벼락치기에 대해서
3,멘탈 관리는 어떻게 해야 할까요? 
4,사고력을 기르려면 어떻게 해야 할까요?
5,카이스트에 입학하려면 어떻게 해야하나요?
6,괜찮은 과제주제를 던져주세요. 
7,공부 스터디 플랜이 없어요
8,영어 공부는 어떻게 해야 할까요?
9,논문의 독자
10,논문을 써본적이 없는데 써보고 싶어요
11,반복 공부를 해도 성적이 나오지 않아요
12,효율적인 공부 방법론
13,공부를 해도 뭔가가 잡히지 않아요.
14,공부를 왜 해야하나요?
15,정시 준비를 해야하나요 수시 준비를 해야하나요?
16,독학으로 공부하고 싶어요. 
17,수능이 얼마 안남았는데 어떻게 해야하나요?
18,사회생활을 하는게 어려워요
19,수학 교재는 어떻게 선택해야 하나요?
20,국어 공부는 어떻게 해야할까요?
21,영어 독해가 잘 되지 않아요.
22,수학을 외워서 푸는 느낌이 듭니다. 
23,재수를 할 때 공부 페이스 유지가 잘 안되요.
24,공부의 속도가 잘 붙지 않을 때
25,직업 선택의 어려움
26,인강을 여러번 들어도 될까요?
27,영어 공부하는 순서는 어떻게 해야 할까요?
28,여자친구가 없어요
29,공부 집중이 안되요
30,교재가 너무 쉬운 것 같습니다.
31,교재가 너무 어려워요
32,공부할 시간이 잘 안나요
33,공부에 흥미가 없어요
34,어떤 방법으로 공부를 해야 할까요?
35,과목 별 공부방법
36,실패가 두렵습니다.
37,영어 문법은 어떻게 공부해야 할까요?
